Number of Property Offences,,,,,,,,,,,,
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),"1,621","1,294","1,451",939,"1,023",988,"1,026",992,833,712
Squamish Lillooet,RCMP Provincial,Squamish Prov,156,128,121,58,57,64,75,99,104,104
Kitimat Stikine,RCMP Provincial,Stewart Prov,41,26,34,15,24,27,33,34,22,14
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),164,137,126,129,158,106,119,90,89,87
Okanagan Similkameen,RCMP Municipal,Summerland Mun,471,465,379,339,324,311,333,221,290,452
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),823,873,927,785,883,810,527,466,498,525
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"31,546","30,453","28,949","27,119","25,915","27,044","28,065","28,830","34,877","30,989"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,28,20,12,28,30,36,42,40,31,28
Kitimat Stikine,RCMP Municipal,Terrace Mun,"1,163","1,153",940,968,763,810,977,957,866,879
Kitimat Stikine,RCMP Provincial,Terrace Prov,390,300,298,345,225,241,325,262,265,276
Powell River,RCMP Provincial,Texada Island Prov,44,32,40,44,47,39,38,30,19,27
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,567,592,438,407,438,457,388,360,411,436
Alberni Clayoquot,RCMP Provincial,Tofino Prov,285,315,340,363,234,244,209,225,177,227
Kootenay Boundary,RCMP Municipal,Trail Mun,634,475,511,464,499,385,392,319,306,288
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",323,327,282,234,190,197,211,189,230,199
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,62,47,43,92,62,58,88,43,45,59
Peace River,RCMP Provincial,Tumbler Ridge Prov,241,200,249,192,160,144,119,83,78,72
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,155,187,152,149,117,119,96,69,53,97
Metro Vancouver,RCMP Provincial,University Prov,"1,025",982,779,889,955,840,940,"1,041",964,"1,102"
Fraser Fort George,RCMP Provincial,Valemount Prov,102,103,115,110,74,88,90,77,73,91
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"46,712","41,187","38,496","35,059","33,033","31,310","32,450","33,022","36,779","37,688"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,424,441,582,691,586,487,428,324,356,382
North Okanagan,RCMP Municipal,Vernon Mun,"4,046","3,577","3,756","2,971","2,580","2,471","2,650","2,574","3,017","3,018"
North Okanagan,RCMP Provincial,Vernon Prov,567,434,463,409,333,312,335,265,261,302
Capital,Independent Municipal,Victoria Mun (21),"12,175","10,398","9,239","8,860","8,133","6,984","6,628","5,673","6,416","6,984"
Capital,RCMP Municipal,View Royal Mun,547,521,532,527,450,332,369,330,268,312
Cariboo,RCMP Provincial,Wells Prov,22,19,18,13,19,16,9,10,13,23
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,"1,285",969,875,"1,030",849,"1,036","1,155"
Capital,RCMP Provincial,West Shore Prov,500,396,355,316,249,211,219,142,126,205
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),"1,988","1,818","1,620","1,756","1,377","1,114","1,207","1,237","1,326","1,417"
Squamish Lillooet,RCMP Municipal,Whistler Mun,"1,671","1,408","1,158","1,088","1,034",981,984,856,649,729
Squamish Lillooet,RCMP Provincial,Whistler Prov,32,109,56,58,20,14,11,51,7,24
Metro Vancouver,RCMP Municipal,White Rock Mun,903,933,993,758,937,804,794,732,931,997
Cariboo,RCMP Municipal,Williams Lake Mun,"1,783","2,106","1,930","1,232","1,054",993,"1,191","1,103","1,044","1,100"
Cariboo,RCMP Provincial,Williams Lake Prov,373,440,381,260,247,229,259,283,274,227
,,BRITISH COLUMBIA (23),"309,788","292,324","267,134","246,692","231,877","214,914","217,674","208,997","226,254","233,159"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Property Crimes include the offences of breaking and entering, theft, possession of stolen property, fraud, mischief, and arson.",,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
