Number of Homicide Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,0,2,0,0,2,0,1
Capital,RCMP Provincial,West Shore Prov,0,0,1,0,1,0,0,0,0,2
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),1,0,0,1,0,1,0,0,0,1
Squamish Lillooet,RCMP Municipal,Whistler Mun,0,0,0,0,0,0,0,0,0,1
Squamish Lillooet,RCMP Provincial,Whistler Prov,0,1,0,0,0,0,0,0,0,0
Metro Vancouver,RCMP Municipal,White Rock Mun,0,0,0,0,0,0,0,0,1,0
Cariboo,RCMP Municipal,Williams Lake Mun,4,0,0,1,0,0,0,0,1,0
Cariboo,RCMP Provincial,Williams Lake Prov,1,0,1,0,0,0,0,0,1,1
,,BRITISH COLUMBIA (23),108,88,117,118,83,87,71,76,89,95
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Homicide data are extracted from the Homicide Survey database.  As a result of ongoing investigations in Port Coquitlam, BC there were 5 homicides reported in the Vancouver CMA total for 2007, 5 reported in 2004, 7 reported in 2003 and 15 included in 2002 that occurred in previous years.  Homicides are counted according to the year in which police file the report.  ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
