Number of Criminal Code Offences,,,,,,,,,,,,
North Okanagan,RCMP Municipal,Vernon Mun,"5,486","5,081","5,552","4,861","4,274","3,980","4,418","4,399","4,719","4,684"
North Okanagan,RCMP Provincial,Vernon Prov,705,587,659,597,516,486,496,420,396,407
Capital,Independent Municipal,Victoria Mun (21),"16,847","15,312","13,823","13,375","13,772","11,450","10,184","9,333","10,436","11,662"
Capital,RCMP Municipal,View Royal Mun,771,690,697,769,628,492,509,461,411,443
Cariboo,RCMP Provincial,Wells Prov,37,21,30,26,28,27,22,23,31,48
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,"1,917","1,466","1,352","1,517","1,282","1,380","1,609"
Capital,RCMP Provincial,West Shore Prov,684,543,539,488,421,369,339,246,218,301
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),"2,654","2,452","2,261","2,256","1,880","1,653","1,777","1,764","1,791","1,970"
Squamish Lillooet,RCMP Municipal,Whistler Mun,"2,369","2,301","1,916","1,739","1,672","1,607","1,721","1,454","1,221","1,334"
Squamish Lillooet,RCMP Provincial,Whistler Prov,37,113,66,67,20,17,15,56,9,28
Metro Vancouver,RCMP Municipal,White Rock Mun,"1,457","1,407","1,330","1,176","1,418","1,198","1,155","1,003","1,269","1,410"
Cariboo,RCMP Municipal,Williams Lake Mun,"3,176","3,520","3,636","2,797","2,860","2,487","3,039","3,203","2,993","2,960"
Cariboo,RCMP Provincial,Williams Lake Prov,629,746,756,569,540,516,613,623,586,488
,,BRITISH COLUMBIA (23),"474,338","450,923","419,994","400,889","382,857","361,359","359,076","340,101","351,649","367,354"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
Total Criminal Code offences excludes Traffic offences.,,,,,,,,,,,,
,,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
