Number of Administration of Justice Offences,,,,,,,,,,,,
Alberni Clayoquot,RCMP Provincial,Tofino Prov,31,11,37,83,113,70,82,96,54,65
Kootenay Boundary,RCMP Municipal,Trail Mun,99,73,30,38,51,73,88,80,67,45
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",21,49,42,56,32,50,77,53,48,37
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,39,26,36,47,48,34,86,37,34,34
Peace River,RCMP Provincial,Tumbler Ridge Prov,34,46,20,30,14,15,5,7,5,10
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,32,24,33,30,43,27,18,22,20,18
Metro Vancouver,RCMP Provincial,University Prov,17,9,10,19,14,14,23,11,16,16
Fraser Fort George,RCMP Provincial,Valemount Prov,9,4,2,6,11,6,11,3,3,1
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"2,852","2,551","2,146","1,851","1,757","1,787","1,839","1,760","2,031","2,258"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,52,56,49,54,90,97,52,107,82,135
North Okanagan,RCMP Municipal,Vernon Mun,207,222,176,213,234,230,239,281,346,322
North Okanagan,RCMP Provincial,Vernon Prov,19,22,16,17,12,11,25,17,21,19
Capital,Independent Municipal,Victoria Mun (21),963,882,665,621,709,573,609,652,742,895
Capital,RCMP Municipal,View Royal Mun,29,15,13,22,15,15,13,19,26,27
Cariboo,RCMP Provincial,Wells Prov,2,0,0,0,1,1,0,0,2,2
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,41,30,37,43,49,33,48
Capital,RCMP Provincial,West Shore Prov,13,8,26,14,16,24,26,21,14,28
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),63,47,75,72,78,118,128,91,80,111
Squamish Lillooet,RCMP Municipal,Whistler Mun,25,56,20,13,22,32,37,19,19,18
Squamish Lillooet,RCMP Provincial,Whistler Prov,1,0,0,0,0,0,0,0,0,0
Metro Vancouver,RCMP Municipal,White Rock Mun,40,48,19,38,25,33,24,17,22,34
Cariboo,RCMP Municipal,Williams Lake Mun,249,191,155,217,242,242,291,349,277,260
Cariboo,RCMP Provincial,Williams Lake Prov,41,25,19,22,22,45,30,33,31,22
,,BRITISH COLUMBIA (23),"20,372","16,596","14,551","15,631","17,075","16,993","16,862","16,284","16,732","18,913"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Administration of justice includes the following offences: fail to comply with order, escape or helps to escape from lawful custody, prisoner unlawfully at large, fail to appear, breach of probation, other violations against the administration of law and justice.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
