Populations,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kitimat Stikine,RCMP Municipal,Terrace Mun,"11,461","11,261","11,365","11,412","11,562","11,688","11,366","11,373","11,197","11,164"
Kitimat Stikine,RCMP Provincial,Terrace Prov,"7,530","7,398","7,543","7,543","7,458","7,436","7,812","7,913","8,194","8,143"
Powell River,RCMP Provincial,Texada Island Prov,"1,043","1,031","1,040","1,055","1,050","1,062","1,054","1,053","1,055","1,023"
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,"7,858","7,871","8,035","8,170","8,298","8,299","8,375","8,437","8,607","8,385"
Alberni Clayoquot,RCMP Provincial,Tofino Prov,"3,096","3,103","3,162","3,186","3,249","3,327","3,326","3,378","3,433","3,419"
Kootenay Boundary,RCMP Municipal,Trail Mun,"7,241","7,446","7,530","7,614","7,578","7,801","7,643","7,417","7,428","7,448"
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)","10,758","10,880","11,081","11,088","11,005","11,089","10,936","10,797","10,771","10,587"
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,372,373,370,373,372,372,376,380,382,384
Peace River,RCMP Provincial,Tumbler Ridge Prov,"2,493","2,528","2,654","2,674","2,694","2,814","2,813","2,841","2,931","2,647"
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,"2,119","2,130","2,167","2,181","2,188","2,240","2,204","2,201","2,202","2,121"
Metro Vancouver,RCMP Provincial,University Prov,"11,904","11,943","11,781","11,717","12,753","13,316","14,169","14,848","16,188","16,456"
Fraser Fort George,RCMP Provincial,Valemount Prov,"1,610","1,588","1,587","1,603","1,604","1,599","1,584","1,563","1,543","1,535"
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"601,006","605,067","604,871","611,642","619,887","620,960","631,093","638,754","645,416","650,575"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,"8,241","8,245","8,352","8,470","8,468","8,688","8,686","8,741","8,798","8,819"
North Okanagan,RCMP Municipal,Vernon Mun,"36,887","37,453","38,162","38,754","38,548","38,914","38,573","38,672","39,167","40,497"
North Okanagan,RCMP Provincial,Vernon Prov,"13,524","13,644","11,610","11,753","11,714","11,154","11,287","11,324","11,494","11,480"
Capital,Independent Municipal,Victoria Mun (21),"98,177","98,581","98,386","98,886","98,788","98,875","99,346","99,612","100,223","101,490"
Capital,RCMP Municipal,View Royal Mun,"9,127","9,111","9,240","9,428","9,520","9,558","10,049","10,543","10,750","10,834"
Cariboo,RCMP Provincial,Wells Prov,358,352,354,342,350,364,354,354,355,352
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,"26,593","26,355","31,669","31,527","31,926","32,744","34,484"
Capital,RCMP Provincial,West Shore Prov,"8,908","8,873","8,913","8,899","9,030","9,017","9,019","9,020","9,128","9,234"
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),"45,270","45,202","44,867","45,073","45,748","45,690","45,664","45,343","45,597","45,148"
Squamish Lillooet,RCMP Municipal,Whistler Mun,"9,799","9,720","9,631","10,160","10,424","10,333","10,372","10,324","10,469","10,361"
Squamish Lillooet,RCMP Provincial,Whistler Prov,298,294,294,294,290,299,315,314,307,301
Metro Vancouver,RCMP Municipal,White Rock Mun,"18,866","18,988","18,889","19,116","19,267","19,327","19,013","19,216","19,232","19,327"
Cariboo,RCMP Municipal,Williams Lake Mun,"11,063","11,117","11,168","11,144","11,057","11,164","10,974","10,873","10,949","11,215"
Cariboo,RCMP Provincial,Williams Lake Prov,"13,123","12,974","13,086","13,046","12,975","12,899","12,870","12,931","13,001","12,900"
,,BRITISH COLUMBIA (23),"4,241,691","4,290,988","4,349,412","4,410,679","4,465,924","4,499,139","4,542,578","4,582,607","4,638,415","4,683,139"
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"BC Stats, Ministry of Technology, Innovation & Citizens' Services, Province of British Columbia",,,,,,,,,,,,
(date: March 2016),,,,,,,,,,,,
